NA, FW_VERSION, FW_DATE 
HP8753ES,07.70,"Jul 30, 2001"
DATE, TIME,
"22 May 2014 ","15:57:23",
CHAN,MEAS,FORMAT
1,S21,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
2000000000,3000000000,
POINTS, POWER, IF_BW
401,-2.5E1,3000
FREQUENCY,UNITS,
Hz,dB,
-25000, 14.124,
-24925, 14.121,
-24850, 14.114,
-24775, 14.118,
-24700, 14.111,
-24625, 14.109,
-24550, 14.109,
-24475, 14.116,
-24400, 14.108,
-24325, 14.114,
-24250, 14.106,
-24175, 14.109,
-24100, 14.101,
-24025, 14.104,
-23950, 14.104,
-23875, 14.109,
-23800, 14.11,
-23725, 14.104,
-23650, 14.104,
-23575, 14.105,
-23500, 14.105,
-23425, 14.104,
-23350, 14.1,
-23275, 14.105,
-23200, 14.106,
-23125, 14.102,
-23050, 14.1,
-22975, 14.103,
-22900, 14.102,
-22825, 14.104,
-22750, 14.105,
-22675, 14.106,
-22600, 14.102,
-22525, 14.105,
-22450, 14.105,
-22375, 14.103,
-22300, 14.101,
-22225, 14.102,
-22150, 14.104,
-22075, 14.105,
-22000, 14.106,
-21925, 14.108,
-21850, 14.103,
-21775, 14.103,
-21700, 14.109,
-21625, 14.109,
-21550, 14.106,
-21475, 14.109,
-21400, 14.11,
-21325, 14.106,
-21250, 14.104,
-21175, 14.109,
-21100, 14.106,
-21025, 14.108,
-20950, 14.106,
-20875, 14.109,
-20800, 14.106,
-20725, 14.107,
-20650, 14.108,
-20575, 14.109,
-20500, 14.104,
-20425, 14.107,
-20350, 14.108,
-20275, 14.107,
-20200, 14.105,
-20125, 14.106,
-20050, 14.106,
-19975, 14.104,
-19900, 14.105,
-19825, 14.108,
-19750, 14.107,
-19675, 14.102,
-19600, 14.104,
-19525, 14.103,
-19450, 14.103,
-19375, 14.107,
-19300, 14.104,
-19225, 14.102,
-19150, 14.103,
-19075, 14.104,
-19000, 14.101,
-18925, 14.102,
-18850, 14.103,
-18775, 14.102,
-18700, 14.103,
-18625, 14.103,
-18550, 14.102,
-18475, 14.1,
-18400, 14.102,
-18325, 14.1,
-18250, 14.1,
-18175, 14.101,
-18100, 14.1,
-18025, 14.102,
-17950, 14.098,
-17875, 14.103,
-17800, 14.101,
-17725, 14.102,
-17650, 14.102,
-17575, 14.101,
-17500, 14.102,
-17425, 14.101,
-17350, 14.1,
-17275, 14.102,
-17200, 14.102,
-17125, 14.102,
-17050, 14.101,
-16975, 14.101,
-16900, 14.101,
-16825, 14.102,
-16750, 14.1,
-16675, 14.101,
-16600, 14.099,
-16525, 14.099,
-16450, 14.101,
-16375, 14.097,
-16300, 14.1,
-16225, 14.098,
-16150, 14.096,
-16075, 14.098,
-16000, 14.099,
-15925, 14.097,
-15850, 14.097,
-15775, 14.097,
-15700, 14.096,
-15625, 14.097,
-15550, 14.096,
-15475, 14.096,
-15400, 14.095,
-15325, 14.096,
-15250, 14.095,
-15175, 14.096,
-15100, 14.093,
-15025, 14.094,
-14950, 14.095,
-14875, 14.094,
-14800, 14.093,
-14725, 14.094,
-14650, 14.092,
-14575, 14.093,
-14500, 14.093,
-14425, 14.092,
-14350, 14.093,
-14275, 14.092,
-14200, 14.092,
-14125, 14.091,
-14050, 14.09,
-13975, 14.09,
-13900, 14.09,
-13825, 14.09,
-13750, 14.088,
-13675, 14.09,
-13600, 14.087,
-13525, 14.086,
-13450, 14.088,
-13375, 14.088,
-13300, 14.087,
-13225, 14.084,
-13150, 14.085,
-13075, 14.085,
-13000, 14.083,
-12925, 14.087,
-12850, 14.083,
-12775, 14.084,
-12700, 14.083,
-12625, 14.083,
-12550, 14.083,
-12475, 14.081,
-12400, 14.08,
-12325, 14.081,
-12250, 14.08,
-12175, 14.082,
-12100, 14.08,
-12025, 14.08,
-11950, 14.079,
-11875, 14.078,
-11800, 14.078,
-11725, 14.076,
-11650, 14.077,
-11575, 14.075,
-11500, 14.076,
-11425, 14.074,
-11350, 14.074,
-11275, 14.073,
-11200, 14.072,
-11125, 14.07,
-11050, 14.071,
-10975, 14.071,
-10900, 14.071,
-10825, 14.069,
-10750, 14.068,
-10675, 14.066,
-10600, 14.067,
-10525, 14.065,
-10450, 14.063,
-10375, 14.063,
-10300, 14.062,
-10225, 14.061,
-10150, 14.059,
-10075, 14.058,
-10000, 14.057,
-9925, 14.058,
-9850, 14.057,
-9775, 14.053,
-9700, 14.053,
-9625, 14.052,
-9550, 14.049,
-9475, 14.048,
-9400, 14.048,
-9325, 14.045,
-9250, 14.043,
-9175, 14.042,
-9100, 14.039,
-9025, 14.038,
-8950, 14.034,
-8875, 14.034,
-8800, 14.031,
-8725, 14.028,
-8650, 14.027,
-8575, 14.024,
-8500, 14.023,
-8425, 14.019,
-8350, 14.016,
-8275, 14.013,
-8200, 14.011,
-8125, 14.008,
-8050, 14.005,
-7975, 14.001,
-7900, 13.998,
-7825, 13.995,
-7750, 13.99,
-7675, 13.986,
-7600, 13.983,
-7525, 13.979,
-7450, 13.976,
-7375, 13.97,
-7300, 13.965,
-7225, 13.96,
-7150, 13.955,
-7075, 13.95,
-7000, 13.945,
-6925, 13.94,
-6850, 13.933,
-6775, 13.928,
-6700, 13.92,
-6625, 13.915,
-6550, 13.908,
-6475, 13.901,
-6400, 13.895,
-6325, 13.886,
-6250, 13.88,
-6175, 13.872,
-6100, 13.864,
-6025, 13.856,
-5950, 13.846,
-5875, 13.838,
-5800, 13.827,
-5725, 13.818,
-5650, 13.809,
-5575, 13.8,
-5500, 13.787,
-5425, 13.779,
-5350, 13.766,
-5275, 13.754,
-5200, 13.744,
-5125, 13.729,
-5050, 13.717,
-4975, 13.704,
-4900, 13.691,
-4825, 13.677,
-4750, 13.662,
-4675, 13.648,
-4600, 13.632,
-4525, 13.618,
-4450, 13.601,
-4375, 13.585,
-4300, 13.566,
-4225, 13.548,
-4150, 13.53,
-4075, 13.51,
-4000, 13.493,
-3925, 13.471,
-3850, 13.452,
-3775, 13.428,
-3700, 13.405,
-3625, 13.383,
-3550, 13.359,
-3475, 13.334,
-3400, 13.307,
-3325, 13.283,
-3250, 13.252,
-3175, 13.222,
-3100, 13.193,
-3025, 13.159,
-2950, 13.129,
-2875, 13.093,
-2800, 13.06,
-2725, 13.02,
-2650, 12.979,
-2575, 12.943,
-2500, 12.9,
-2425, 12.86,
-2350, 12.815,
-2275, 12.775,
-2200, 12.725,
-2125, 12.674,
-2050, 12.633,
-1975, 12.58,
-1900, 12.536,
-1825, 12.485,
-1750, 12.44,
-1675, 12.387,
-1600, 12.336,
-1525, 12.291,
-1450, 12.242,
-1375, 12.199,
-1300, 12.151,
-1225, 12.112,
-1150, 12.066,
-1075, 12.022,
-1000, 11.985,
-925, 11.944,
-850, 11.909,
-775, 11.869,
-700, 11.836,
-625, 11.799,
-550, 11.763,
-475, 11.732,
-400, 11.696,
-325, 11.666,
-250, 11.631,
-175, 11.602,
-100, 11.568,
-25, 11.534,
50, 11.504,
125, 11.471,
200, 11.442,
275, 11.407,
350, 11.378,
425, 11.345,
500, 11.309,
575, 11.279,
650, 11.244,
725, 11.215,
800, 11.179,
875, 11.148,
950, 11.112,
1025, 11.077,
1100, 11.046,
1175, 11.009,
1250, 10.977,
1325, 10.941,
1400, 10.909,
1475, 10.871,
1550, 10.833,
1625, 10.8,
1700, 10.762,
1775, 10.73,
1850, 10.692,
1925, 10.658,
2000, 10.619,
2075, 10.585,
2150, 10.546,
2225, 10.507,
2300, 10.474,
2375, 10.434,
2450, 10.4,
2525, 10.362,
2600, 10.328,
2675, 10.288,
2750, 10.249,
2825, 10.217,
2900, 10.177,
2975, 10.143,
3050, 10.105,
3125, 10.074,
3200, 10.037,
3275, 10,
3350, 9.9687,
3425, 9.9356,
3500, 9.9063,
3575, 9.8749,
3650, 9.851,
3725, 9.826,
3800, 9.8093,
3875, 9.8049,
3950, 9.7966,
4025, 9.7492,
4100, 9.6681,
4175, 9.5891,
4250, 9.4926,
4325, 9.3971,
4400, 9.3147,
4475, 9.2653,
4550, 9.2635,
4625, 9.2622,
4700, 9.2617,
4775, 9.2612,
4850, 9.2605,
4925, 9.2599,
5000, 9.2601,

